Image ID,Image.name,Annotation status,Points,AcrCerv,AcrPalm,AgAga,AgTen,AgUnd,BL_OrbFav,BORB,CoNat,DiplLab,FaviaFrag,MontaCav,OrbAnn,OrbFav,OrbFrank,PorAstr,Por_branch,PorPor,PseuCliv,PseuStrig,Siderastr,SidSid,ANEM,Feat_dust,GORG-BRI,Gorg_Fan,Gorg_Plume,Gorg_Whip,Hydra,Millepora,PCAR,Spong_Crus,Spong_Erec,Spong_Glo,Film_Sand,Sand,Bare_Rock,CCA_LR,Cyano_HR,Cyano_LR,Cyano_RBL,Cyano_Sand,Debris,ACA,Brown_Enc,Brown_UFM,CCA_HR,CCA_RBL,Dictyota,EAM_HR,EAM_LR,EAM_RBL,Green_UFM,Halimeda,Lobophora,Mac_matrix,Red_Enc,Red_UFM,Sargassum,Ulva,SyrFil,ThalTes
6097830,Belize2025_reefCensus_photoquadrats_CBC_20250625_T5_Q06_25m_P6260678_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0
6097831,Belize2025_reefCensus_photoquadrats_CBC_20250625_T5_Q07_20m_P6260423_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
6097832,Belize2025_reefCensus_photoquadrats_CBC_20250625_T5_Q08_15m_P6260684_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,36,0,0,0,0,0,0,0,0,40,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
6097833,Belize2025_reefCensus_photoquadrats_CBC_20250625_T5_Q09_10m_P6260435_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,16,0,0,0,0,0,0,0,0,28,0,0,8,4,0,0,0,0,4,12,0,0,0,0,0
6097834,Belize2025_reefCensus_photoquadrats_CBC_20250625_T5_Q10_5m_P6260687_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,24,0,0,0,0,0,0,0,0,16,0,0,0,36,0,0,4,0,0,4,0,0,0,0,0
6097835,Belize2025_reefCensus_photoquadrats_CBC_20250625_T6_Q01_50m_P6260441_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,12,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
6097836,Belize2025_reefCensus_photoquadrats_CBC_20250625_T6_Q02_45m_P6260691_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,12,0,8,0,0,0,0,0,0
6097837,Belize2025_reefCensus_photoquadrats_CBC_20250625_T6_Q03_40m_P6260449_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,20,0,60,4,0,0,0,0,0,8,0,0,0,0
6097838,Belize2025_reefCensus_photoquadrats_CBC_20250625_T6_Q04_35m_P6260701_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,4,8,0,16,0,0,0,0,0,0,16,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
6097839,Belize2025_reefCensus_photoquadrats_CBC_20250625_T6_Q05_30m_P6260474_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
6097840,Belize2025_reefCensus_photoquadrats_CBC_20250625_T6_Q06_25m_P6260706_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,12,0,0,4,56,8,0,4,0,0,4,0,0,0,0,0
6097841,Belize2025_reefCensus_photoquadrats_CBC_20250625_T6_Q07_20m_P6260489_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,16,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0
6097842,Belize2025_reefCensus_photoquadrats_CBC_20250625_T6_Q08_15m_P6260710_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,24,0,4,28,16,8,0,0,0,0,4,0,0,0,0,0
6097843,Belize2025_reefCensus_photoquadrats_CBC_20250625_T6_Q09_10m_P6260497_R.JPG,Confirmed,25,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,4,0,0,0,0,0,0,0,0,8,0,0,16,28,8,0,4,0,0,0,0,0,0,0,0
6097844,Belize2025_reefCensus_photoquadrats_CBC_20250625_T6_Q10_5m_P6260716_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,4,52,24,4,0,0,0,0,0,0,0,0,0,0
6097725,Belize2025_reefCensus_photoquadrats_WhaleShoal_20250622_T1_Q01_50m_P6220296_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,24,0,8,0,12,0,4,16,8,0,0,0,0,12,0,0,0,0,0,0
6097726,Belize2025_reefCensus_photoquadrats_WhaleShoal_20250622_T1_Q02_45m_P6220299_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,20,28,0,4,20,0,8,0,0,0,4,0,0,0,0,0,0
6097727,Belize2025_reefCensus_photoquadrats_WhaleShoal_20250622_T1_Q03_40m_P6220305_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,4,0,8,20,0,8,0,16,0,0,4,0,20,0,0,0,0,0,0
6097728,Belize2025_reefCensus_photoquadrats_WhaleShoal_20250622_T1_Q04_35m_P6220310_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,52,0,4,0,0,0,0
6097729,Belize2025_reefCensus_photoquadrats_WhaleShoal_20250622_T1_Q05_30m_P6220314_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,24,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,12,0,8,0,0,0,20
